INFO 2026-05-03 15:31:26,602 autoreload 22860 24620 Watching for file changes with StatReloader
INFO 2026-05-03 16:54:13,005 autoreload 19624 5216 Watching for file changes with StatReloader
INFO 2026-05-03 16:54:26,221 log 19624 9972 "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
WARNING 2026-05-03 16:54:26,254 log 19624 9972 Unauthorized: /api/v1/auth/profile/
WARNING 2026-05-03 16:54:26,255 log 19624 9972 "GET /api/v1/auth/profile/ HTTP/1.1" 401 172
INFO 2026-05-03 16:55:10,560 log 19624 17184 "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
WARNING 2026-05-03 16:55:11,240 log 19624 17184 Unauthorized: /api/v1/auth/login/
WARNING 2026-05-03 16:55:11,241 log 19624 17184 "POST /api/v1/auth/login/ HTTP/1.1" 401 63
WARNING 2026-05-03 16:55:14,742 log 19624 17184 Unauthorized: /api/v1/auth/login/
WARNING 2026-05-03 16:55:14,743 log 19624 17184 "POST /api/v1/auth/login/ HTTP/1.1" 401 63
INFO 2026-05-03 16:55:22,855 log 19624 17184 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 16:55:22,861 log 19624 17184 "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
INFO 2026-05-03 16:55:22,867 log 19624 17184 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:01:22,239 log 19624 2128 "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
INFO 2026-05-03 17:01:23,603 log 19624 2128 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:01:23,612 log 19624 2128 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:01:23,974 log 19624 16904 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:01:23,980 log 19624 16904 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
